Elapsed time,Thread Group
23:10:39.500,1.0
23:10:40.0,1.5
23:10:40.500,2.0
23:10:41.0,2.6666666666666665
23:10:41.500,3.0
23:10:42.0,3.75
23:10:42.500,4.0
23:10:43.0,4.4
23:10:43.500,5.0
23:10:44.0,5.8
23:10:44.500,6.0
23:10:45.0,7.0
23:10:45.500,7.0
23:10:46.0,7.666666666666667
23:10:46.500,8.0
23:10:47.0,8.555555555555555
23:10:47.500,9.0
23:10:48.0,9.7
23:10:48.500,10.0
23:10:49.0,10.636363636363637
23:10:49.500,11.0
23:10:50.0,11.545454545454545
23:10:50.500,12.0
23:10:51.0,12.833333333333334
23:10:51.500,13.0
23:10:52.0,13.8
23:10:52.500,14.0
23:10:53.0,14.4
23:10:53.500,15.0
23:10:54.0,15.785714285714286
23:10:54.500,16.0
23:10:55.0,16.5
23:10:55.500,17.0
23:10:56.0,17.90909090909091
23:10:56.500,18.0
23:10:57.0,18.666666666666668
23:10:57.500,19.0
23:10:58.0,19.636363636363637
23:10:58.500,20.0
23:10:59.0,20.642857142857142
23:10:59.500,21.0
23:11:00.0,21.636363636363637
23:11:00.500,22.0
23:11:01.0,22.615384615384617
23:11:01.500,23.0
23:11:02.0,23.733333333333334
23:11:02.500,24.0
23:11:03.0,24.533333333333335
23:11:03.500,25.0
23:11:04.0,25.53846153846154
23:11:04.500,26.0
23:11:05.0,26.615384615384617
23:11:05.500,27.0
23:11:06.0,27.615384615384617
23:11:06.500,28.0
23:11:07.0,28.529411764705884
23:11:07.500,29.0
23:11:08.0,29.6
23:11:08.500,30.0
23:11:09.0,30.75
23:11:09.500,31.0
23:11:10.0,31.8125
23:11:10.500,32.0
23:11:11.0,32.8125
23:11:11.500,33.0
23:11:12.0,33.714285714285715
23:11:12.500,34.0
23:11:13.0,34.625
23:11:13.500,35.0
23:11:14.0,35.666666666666664
23:11:14.500,36.0
23:11:15.0,36.6875
23:11:15.500,37.0
23:11:16.0,37.6
23:11:16.500,38.0
23:11:17.0,38.53333333333333
23:11:17.500,39.0
23:11:18.0,39.705882352941174
23:11:18.500,40.0
23:11:19.0,40.714285714285715
23:11:19.500,41.0
23:11:20.0,41.666666666666664
23:11:20.500,42.0
23:11:21.0,42.705882352941174
23:11:21.500,43.0
23:11:22.0,43.68421052631579
23:11:22.500,44.0
23:11:23.0,44.7
23:11:23.500,45.0
23:11:24.0,46.0
23:11:24.500,46.0
23:11:25.0,46.53333333333333
23:11:25.500,47.0
23:11:26.0,48.0
23:11:26.500,48.0
23:11:27.0,48.529411764705884
23:11:27.500,49.0
23:11:28.0,50.0
23:11:28.500,50.0
23:11:29.0,50.473684210526315
23:11:29.500,51.0
23:11:30.0,51.55
23:11:30.500,52.0
23:11:31.0,52.476190476190474
23:11:31.500,53.0
23:11:32.0,53.0
23:11:32.500,54.0
23:11:33.0,55.0
23:11:33.500,55.0
23:11:34.0,55.0
23:11:34.500,56.0
23:11:35.0,57.0
23:11:35.500,57.0
23:11:36.0,57.0
23:11:36.500,58.0
23:11:37.0,59.0
23:11:37.500,59.0
23:11:38.0,60.0
23:11:38.500,60.0
23:11:39.0,61.0
23:11:39.500,61.0
23:11:40.0,62.0
23:11:40.500,62.0
23:11:41.0,63.0
23:11:41.500,63.0
23:11:42.0,64.0
23:11:42.500,64.0
23:11:43.0,65.0
23:11:43.500,65.0
23:11:44.500,66.0
23:11:45.500,67.0
23:11:46.0,68.0
23:11:47.0,68.0
23:11:47.500,69.0
23:11:48.0,69.0
23:11:48.500,70.0
23:11:49.0,71.0
23:11:50.0,71.0
23:11:50.500,72.0
23:11:51.0,73.0
23:11:52.0,73.0
23:11:52.500,74.0
23:11:53.0,75.0
23:11:54.0,76.0
23:11:54.500,76.0
23:11:55.500,77.0
23:11:56.0,78.0
23:11:57.0,79.0
23:11:58.0,79.0
23:11:58.500,80.0
23:11:59.0,81.0
23:12:00.0,82.0
23:12:01.0,83.0
23:12:02.0,83.0
23:12:02.500,84.0
23:12:03.500,85.0
23:12:04.500,86.0
23:12:05.500,87.0
23:12:06.500,88.0
23:12:07.0,89.0
23:12:08.0,90.0
23:12:09.0,91.0
23:12:10.0,92.0
23:12:11.0,93.0
23:12:12.0,94.0
23:12:13.0,94.0
23:12:14.0,95.0
23:12:15.0,97.0
23:12:16.0,98.0
23:12:17.0,99.0
23:12:18.500,100.0
23:12:19.0,101.0
23:12:19.500,101.0
23:12:20.500,102.0
23:12:21.500,103.0
23:12:22.500,104.0
23:12:23.0,105.0
23:12:24.0,106.0
23:12:25.500,107.0
23:12:26.500,108.0
23:12:27.500,109.0
23:12:29.0,111.0
23:12:30.500,112.0
23:12:32.0,113.0
23:12:33.0,115.0
23:12:34.500,116.0
23:12:35.500,117.0
23:12:37.0,119.0
23:12:38.500,120.0
23:12:40.0,121.0
23:12:41.500,123.0
23:12:43.0,125.0
23:12:44.500,126.0
23:12:46.0,128.0
23:12:47.500,129.0
23:12:49.0,131.0
23:12:50.500,132.0
23:12:52.0,134.0
23:12:54.0,136.0
23:12:55.500,137.0
23:12:57.500,139.0
23:12:59.500,141.0
23:13:01.0,142.0
23:13:02.500,144.0
23:13:04.500,146.0
23:13:06.0,148.0
23:13:08.0,150.0
23:13:10.0,151.0
23:13:12.0,153.1290322580645
23:13:14.0,156.0
23:13:16.0,158.0
23:13:16.500,158.0
23:13:18.0,159.8333333333333
23:13:20.0,162.0
23:13:22.0,163.0
23:13:24.500,166.0
23:13:26.500,168.0
23:13:28.500,170.0
23:13:30.0,172.0
23:13:30.500,172.0
23:13:33.500,175.0
23:13:35.500,177.0
23:13:40.0,181.0
23:13:41.0,182.0
23:13:44.0,186.0
23:13:45.0,187.0
23:13:52.500,194.0
23:13:53.0,195.0
23:13:56.0,198.0
23:13:57.0,199.0
23:13:57.500,199.0
23:13:58.0,200.0
23:13:58.500,200.0
23:13:59.0,200.0
23:14:00.500,202.0
23:14:03.500,205.0
23:14:06.500,208.0
23:14:09.500,211.0
23:14:12.500,214.0
23:14:15.500,217.0
23:14:18.500,220.0
23:14:20.500,222.0
23:14:21.500,223.0
23:14:26.500,228.0
23:14:29.500,231.0
23:14:33.500,235.0
23:14:35.0,237.0
23:14:35.500,237.0
23:14:40.0,241.0
23:14:42.500,244.0
23:14:43.0,244.5
23:14:43.500,245.0
23:14:45.0,247.0
23:14:45.500,247.0
23:14:47.0,249.0
23:14:48.500,250.0
23:14:51.500,253.0
23:14:52.0,253.0
23:14:52.500,254.0
23:14:53.0,254.68085106382978
23:14:58.0,259.0
23:15:00.0,262.0
23:15:03.500,265.0
23:15:06.500,268.0
23:15:07.0,268.0
23:15:11.500,273.0
23:15:14.500,276.0
23:15:19.500,281.0
23:15:21.0,283.0
23:15:24.500,286.0
23:15:25.0,287.0
23:15:27.0,289.0
23:15:28.500,290.0
23:15:32.500,294.0
23:15:39.500,301.0
23:15:40.0,302.0
23:15:43.500,305.0
23:15:44.0,306.0
23:15:45.0,306.0
23:15:45.500,307.0
23:15:47.500,309.0
23:15:48.500,310.0
23:15:50.0,312.0
23:15:54.500,316.0
23:15:55.0,316.95934959349586
23:16:01.0,323.0
23:16:04.500,326.0
23:16:09.0,330.9
23:16:17.500,339.0
23:16:18.500,340.0
23:16:21.500,343.0
23:16:22.500,344.0
23:16:24.500,346.0
23:16:25.0,346.0
23:16:26.0,348.0
23:16:27.500,349.0
23:16:35.0,356.0
23:16:35.500,357.0
23:16:39.500,361.0
23:16:41.500,363.0
23:16:43.500,365.0
23:16:45.500,367.0
23:16:51.500,373.0
23:16:56.0,378.0
23:16:56.500,378.0
23:17:00.500,382.0
23:17:03.500,385.0
23:17:08.500,390.0
23:17:11.0,393.0
23:17:11.500,393.0
23:17:15.500,397.0
23:17:23.500,405.0
23:17:24.500,406.0
23:17:29.500,411.0
23:17:30.500,412.0
23:17:34.0,415.0
23:17:37.500,419.0
23:17:41.0,422.0
23:17:45.0,426.0
23:17:48.500,430.0
23:17:52.500,434.0
23:17:56.0,437.0
23:18:00.500,442.0
23:18:04.0,446.0
23:18:09.500,451.0
23:18:13.0,454.0
23:18:18.500,460.0
23:18:22.0,463.0
23:18:28.500,470.0
23:18:31.500,473.0
23:18:38.500,480.0
23:18:39.0,480.0
23:18:40.500,482.0
23:18:43.0,485.0
23:18:43.500,485.0
23:18:45.500,487.0
23:18:53.500,495.0
23:18:54.500,496.0
23:18:57.0,498.0
23:18:57.500,499.0
23:18:58.0,499.4
23:18:58.500,500.0
23:19:00.0,500.0
23:19:02.0,500.0
23:19:03.500,500.0
23:19:08.0,500.0
23:19:10.500,500.0
23:19:11.0,500.0
23:19:18.0,500.0
23:19:21.500,500.0
23:19:24.0,500.0
23:19:26.0,500.0
23:19:37.0,500.0
23:19:40.0,500.0
23:19:41.0,220.0
23:19:45.0,202.21004566210053
